PharmGKB Accession Id	Name	Alternate Names	Cross-references	External Vocabulary
PA166325701	coronary artery calcification			MedDRA:10064747(Coronary artery calcification), HP:HP:0001717(Coronary artery calcification)
PA443796	Coronary Artery Disease	"""Arterioscleroses, Coronary"", ""Arteriosclerosis, Coronary"", ""Artery Disease, Coronary"", ""Artery Diseases, Coronary"", ""Atheroscleroses, Coronary"", ""Atherosclerosis, Coronary"", ""Coronary Arterioscleroses"", ""Coronary Arteriosclerosis"", ""Coronary Artery Disease"", ""Coronary Artery Diseases"", ""Coronary Atheroscleroses"", ""Coronary Atherosclerosis"", ""Disease, Coronary Artery"", ""Diseases, Coronary Artery"", ""Disorder of coronary artery"""		MeSH:D003324(Coronary Artery Disease), SnoMedCT:414024009(Disorder of coronary artery), UMLS:C1956346(C1956346), MedDRA:10006896(CAD), NDFRT:N0000000856(Coronary Artery Disease [Disease/Finding]), MONDO:MONDO:0005010(coronary artery disorder)
PA443797	Coronary Disease	"""Coronary Diseases"", ""Coronary Heart Disease"", ""Coronary Heart Diseases"", ""Coronary Occlusion"", ""Coronary Occlusions"", ""Disease, Coronary"", ""Disease, Coronary Heart"", ""Diseases, Coronary"", ""Diseases, Coronary Heart"", ""Heart Disease, Coronary"", ""Heart Diseases, Coronary"", ""Occlusion, Coronary"", ""Occlusions, Coronary"""		MeSH:D003327(Coronary Disease), UMLS:C0010068(Coronary disease), MedDRA:10011099(Coronary disease), NDFRT:N0000000857(Coronary Disease [Disease/Finding]), MONDO:MONDO:0005010(coronary artery disorder), HP:HP:0001677(Coronary artery atherosclerosis)
PA447325	Coronary Restenosis	"""Coronary Restenoses"", ""Coronary Restenosis"", ""Restenoses, Coronary"", ""Restenosis, Coronary"", ""restenosis"""		MeSH:D023903(Coronary Restenosis), UMLS:C0948480(Coronary restenosis), MedDRA:10052789(Coronary restenosis), NDFRT:N0000011104(Coronary Restenosis [Disease/Finding]), MONDO:MONDO:0005355(coronary restenosis)
PA447152	Coronary Stenosis	"""Artery Stenoses, Coronary"", ""Artery Stenosis, Coronary"", ""Coronary Artery Stenoses"", ""Coronary Artery Stenosis"", ""Coronary Stenoses"", ""Coronary artery stenosis"", ""Stenoses, Coronary"", ""Stenoses, Coronary Artery"", ""Stenosis, Coronary"", ""Stenosis, Coronary Artery"""		MeSH:D023921(Coronary Stenosis), SnoMedCT:233970002(Coronary artery stenosis), UMLS:C0242231(C0242231), MedDRA:10011089(Coronary artery stenosis), NDFRT:N0000010990(Coronary Stenosis [Disease/Finding]), MONDO:MONDO:0006715(coronary stenosis)
PA443798	Coronary Thrombosis	"""CT - Coronary thrombosis"", ""Coronary Thromboses"", ""Coronary artery thrombosis"", ""Coronary thrombosis"", ""Thromboses, Coronary"", ""Thrombosis - coronary"", ""Thrombosis, Coronary"""		MeSH:D003328(Coronary Thrombosis), SnoMedCT:398274000(Coronary artery thrombosis), UMLS:C0010072(C0010072), MedDRA:10011091(Coronary artery thrombosis), NDFRT:N0000000858(Coronary Thrombosis [Disease/Finding]), MONDO:MONDO:0006716(coronary thrombosis)
PA443799	Coronary Vasospasm	"""Angina pectoris with documented spasm"", ""Artery Vasospasm, Coronary"", ""Artery Vasospasms, Coronary"", ""Coronary Artery Vasospasm"", ""Coronary Artery Vasospasms"", ""Coronary Vasospasms"", ""Coronary artery spasm"", ""Coronary spasm"", ""Vasospasm, Coronary"", ""Vasospasm, Coronary Artery"", ""Vasospasms, Coronary"", ""Vasospasms, Coronary Artery"""		MeSH:D003329(Coronary Vasospasm), SnoMedCT:23687008(Coronary artery spasm), UMLS:C0010073(C0010073), MedDRA:10003225(Arteriospasm coronary), NDFRT:N0000000859(Coronary Vasospasm [Disease/Finding]), MONDO:MONDO:0005356(coronary vasospasm)
PA151958647	Corticobasal degeneration disorder	Corticobasal degeneration(CBD), Corticodentatonigral degeneration with neuronal achromasia		MeSH:D000088282(Corticobasal Degeneration), SnoMedCT:18842008(Corticobasal degeneration), UMLS:C0393570(C0393570), MedDRA:10078208(Corticobasal Degeneration), MONDO:MONDO:0022308(corticobasal degeneration disorder)
PA142297362	Costello Syndrome	Costello syndrome		SnoMedCT:309776008(Costello syndrome), UMLS:C0587248(C0587248), MedDRA:10067380(Costello syndrome), NDFRT:N0000181164(Costello Syndrome [Disease/Finding]), MONDO:MONDO:0009026(Costello syndrome)
PA443803	Cough	C/O - cough, Complaining of cough, Coughing - function, Coughs, Observation of cough, [D]Cough		MeSH:D003371(Cough), SnoMedCT:161935000(Cough symptom NOS), SnoMedCT:207066005([D]Cough), SnoMedCT:263731006(Coughing), SnoMedCT:272039006(C/O - cough), SnoMedCT:49727002(Cough), UMLS:C0010200(C0010200), MedDRA:10011224(Cough), NDFRT:N0000000863(Cough [Disease/Finding]), HP:HP:0012735(Cough)
PA166197121	COVID-19	2019-nCoV, SARS-CoV-2, SARS-nCoV-2		MONDO:MONDO:0100096(COVID-19)
